Ensembl_id	Gene_name	Species	%GC	Gene length	Protein length	Age	Tau	Specific tissue	Average gene exp levels	Binding site percentage	Unique domain number	Domain numbers total	LRR domain numbers	LRR domain length total	Biosynthesis	Transport	Transporter activity	Development	Transcription	Translation	Defense response	Immune response	Cell division	Regulation of transcription	Core functions	Regulatory functions	%Disorder	%Exposed LRR	%Buried LRR	Group_based_on_NA_sensing	Type_of_sensed_NA	Group_new
ENSDARG00000073675	TLR8B	Zebrafish	39.04	4.069705088	3.006893708	76	0.76028909	kidney	0.639320809	9.4581	3	9	8	415	0	0	0	0	1	0	0	1	0	1	1	2	1.39771283354511	28.1195	34.4464	NA_sensing_TLRs	ssRNA	ssRNA
ENSDARG00000100649	TLR1	Zebrafish	42	3.673113104	2.900913068	645	0.746195729	kidney	0.910550879	9.6855	3	4	2	108	0	0	0	0	1	0	1	3	0	1	1	5	1.46699266503667	32.0354	32.9204	Other_TLRs	Other_TLRs	Other_TLRs
ENSDARG00000104045	TLR22	Zebrafish	40.19	3.589502796	2.980457892	544	0.810491257	kidney	0.820888577	12.6702	4	12	10	657	0	0	0	1	1	0	1	2	0	1	2	4	5.62060889929742	27.9029	33.6222	NA_sensing_TLRs	dsRNA	dsRNA
ENSDARG00000104832	TLR8	Zebrafish	41.51	3.741072772	3.004321374	544	0.680259934	kidney	0.484187556	10.0099	3	7	5	258	0	0	0	0	1	0	0	1	0	1	1	2	3.06469920544835	28	34.24	NA_sensing_TLRs	ssRNA	ssRNA
ENSG00000101916	TLR8	Human	41.32	4.218771756	3.025305865	454	0.798046041	lung	1.149272168	9.0652	3	7	5	263	0	0	0	1	2	0	1	6	0	2	3	9	1.21608980355472	30.8571	33.4286	NA_sensing_TLRs	ssRNA	ssRNA
ENSG00000136869	TLR4	Human	38.47	4.31302311	2.924279286	382	0.305713731	lung	3.234936743	7.7473	4	11	9	468	1	1	0	1	6	1	2	10	1	2	10	15	1.35440180586907	30.4487	33.0128	Other_TLRs	Other_TLRs	Other_TLRs
ENSG00000137462	TLR2	Human	38.83	4.346157302	2.894869657	645	0.631076989	lung	2.216637023	12.2449	4	5	3	227	1	0	0	1	7	1	2	6	0	1	10	9	3.43781597573306	26.8919	35.2703	Other_TLRs	Other_TLRs	Other_TLRs
ENSG00000164342	TLR3	Human	39.24	4.276875221	2.956648579	645	0.33292504	lung	2.840341965	14.823	4	12	10	659	0	0	0	1	5	1	1	4	0	2	7	7	0.83073727933541	29.5918	32.2157	NA_sensing_TLRs	dsRNA	dsRNA
ENSG00000174123	TLR10	Human	38.76	4.031489256	2.909556029	36	0.669349527	brain	0.665340524	10.2343	4	4	2	98	0	0	0	1	1	0	1	3	0	1	2	5	3.05418719211823	32.7411	31.9797	Other_TLRs	Other_TLRs	Other_TLRs
ENSG00000174125	TLR1	Human	40.78	4.820464191	2.895974732	382	0.299966517	lung	3.152892139	10.1781	3	4	2	118	0	0	0	1	2	0	1	4	0	1	3	6	0.421052631578947	29.5423	32.5936	Other_TLRs	Other_TLRs	Other_TLRs
ENSG00000174130	TLR6	Human	39.76	4.519854234	2.901458321	645	0.545775711	lung	1.460116261	10.0503	3	4	2	118	0	0	0	1	3	1	1	5	0	1	5	7	1.63522012578616	28.4698	32.9181	Other_TLRs	Other_TLRs	Other_TLRs
ENSG00000187554	TLR5	Human	46.59	4.529481686	2.933993164	8	0.553643155	ovary	2.897654795	11.655	4	9	7	396	0	0	0	1	1	0	1	3	0	1	2	5	1.46596858638743	28.1207	34.5679	Other_TLRs	Other_TLRs	Other_TLRs
ENSG00000196664	TLR7	Human	40.25	4.367150841	3.021189299	645	0.587322946	lung	1.199577693	8.7703	5	8	6	380	0	0	0	1	3	0	1	3	0	2	4	6	0.297324083250743	29.5685	32.4873	NA_sensing_TLRs	ssRNA	ssRNA
ENSG00000239732	TLR9	Human	61.1	3.659440782	3.014100322	382	0.714939571	ovary	0.266655254	9.2054	3	10	9	398	1	1	1	1	6	1	1	4	0	2	11	7	3.21057601510859	33.9109	32.1782	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSGALG00000007001	TLR4	Chicken	45.97	3.752048448	2.926342447	382	0.552598587	lung	1.833548392	8.6595	4	6	4	246	1	1	0	1	5	1	2	8	1	1	9	12	1.66865315852205	30.4778	33.9374	Other_TLRs	Other_TLRs	Other_TLRs
ENSGALG00000008166	TLR15	Chicken	44.82	3.639087871	2.966141733	245	0.439592315	testis	1.783109059	8.658	4	4	2	87	0	0	0	0	1	0	1	3	0	1	1	5	0.892857142857143	31.7518	32.2993	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSGALG00000009239	TLR2B	Chicken	42.99	4.241098009	2.893206753	645	0.57962804	liver	1.25086385	12.42	3	5	3	175	0	0	0	0	1	0	1	3	0	1	1	5	0.663716814159292	28.9308	34.434	Other_TLRs	Other_TLRs	Other_TLRs
ENSGALG00000009392	TLR5	Chicken	39.25	3.412460547	2.935507266	424	0.516181561	lung	2.24934704	11.4983	4	9	7	419	0	0	0	1	1	0	1	3	0	1	2	5	0.986436498150432	29.0146	33.0292	Other_TLRs	Other_TLRs	Other_TLRs
ENSGALG00000013468	TLR3	Chicken	38.38	3.8786941	2.952792443	645	0.583524514	lung	2.186321237	13.6161	5	13	10	657	0	0	0	0	4	1	1	3	0	1	5	5	1.01781170483461	29.8893	35.6089	NA_sensing_TLRs	dsRNA	dsRNA
ENSGALG00000016590	TLR7	Chicken	38.84	3.870403905	3.025305865	645	0.811642331	lung	1.100904394	8.4986	5	7	5	254	0	0	0	1	3	0	1	4	0	2	4	7	1.38190954773869	29.1667	33.6957	NA_sensing_TLRs	ssRNA	ssRNA
ENSGALG00000017485	TLR1A	Chicken	40.22	3.727053011	2.913283902	645	0.83865813	lung	0.954535723	8.4352	3	4	2	116	0	0	0	0	1	0	1	3	0	1	1	5	1.63170163170163	28.6645	35.342	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000000870	TLR5	Macaque	46.59	4.507720977	2.919601024	454	0.803972382	lung	1.209436253	14.1998	4	8	6	359	0	0	0	1	1	0	1	3	0	1	2	5	0.953288846520496	32.266	32.1429	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000002418	TLR6	Macaque	38.93	4.384299639	2.901458321	2	0.764961357	lung	1.691544952	10.1759	5	6	4	182	0	0	0	1	2	0	1	4	0	1	3	6	3.77906976744186	30.3519	32.6979	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000003373	TLR10	Macaque	38.88	3.480868924	2.909556029	36	0.903237726	lung	0.444737609	9.8644	4	5	3	156	0	0	0	1	1	0	1	3	0	1	2	5	0.948991696322657	29.8532	34.9103	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000009112	TLR4	Macaque	37.18	4.746688677	2.91750551	382	0.729270458	lung	2.017154681	7.7482	4	7	5	248	1	1	0	1	5	1	2	8	1	1	9	12	9.74025974025974	36.8343	31.3609	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000012263	TLR9	Macaque	58.46	3.872505899	3.014100322	244	0.375554114	muscle	5.289363604	7.5581	3	8	7	307	0	0	0	0	4	0	2	3	0	2	4	7	1.40845070422535	31.1388	32.9181	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSMMUG00000014254	TLR7	Macaque	40.05	4.364062961	3.021189299	645	0.839819989	lung	0.45736264	9.0562	3	6	4	226	0	0	0	1	3	0	1	3	0	2	4	6	0.696864111498258	30.1887	32.0755	NA_sensing_TLRs	ssRNA	ssRNA
ENSMMUG00000014255	TLR8	Macaque	39.02	3.505828034	3.01745073	454	0.849181325	lung	1.209036603	9.4231	3	8	6	292	0	0	0	1	2	0	1	3	0	2	3	6	0.669642857142857	27.7693	34.4461	NA_sensing_TLRs	ssRNA	ssRNA
ENSMMUG00000015847	TLR2	Macaque	37.96	4.331670191	2.894869657	645	0.774094317	lung	2.018422896	11.6071	3	4	2	117	0	0	0	1	3	1	1	5	0	1	5	7	1.03871576959396	31.566	32.5524	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000016754	TLR1	Macaque	41.02	3.971090213	2.895974732	132	0.711124402	lung	2.231456255	9.7964	4	5	3	141	0	0	0	1	1	0	1	4	0	1	2	6	1.22249388753056	26.3345	34.1637	Other_TLRs	Other_TLRs	Other_TLRs
ENSMMUG00000021762	TLR3	Macaque	40.88	4.450233708	2.956648579	645	0.685529519	liver	1.768510634	14.0487	4	11	9	599	0	0	0	1	4	1	1	3	0	1	6	5	0.953288846520496	32.0197	31.4039	NA_sensing_TLRs	dsRNA	dsRNA
ENSMODG00000004861	TLR3	Opossum	37.38	4.226367876	2.957128198	645	0.513273502	liver	1.086967396	14.5856	5	13	10	576	0	0	0	1	4	1	1	3	0	1	6	5	0.892857142857143	31.0219	32.4818	NA_sensing_TLRs	dsRNA	dsRNA
ENSMODG00000011665	TLR9	Opossum	53.83	3.847017098	3.026941628	41	0.863066678	testis	1.404202327	8.0903	3	7	6	289	0	0	0	0	1	0	1	2	0	1	1	4	0.663716814159292	33.7871	32.4257	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSMODG00000017328	TLR8	Opossum	36.77	4.382233235	3.020775488	454	0.816054577	lung	1.299002524	9.6374	4	8	6	256	0	0	0	1	2	0	1	5	0	2	3	8	0.842358604091456	28.4591	35.0629	NA_sensing_TLRs	ssRNA	ssRNA
ENSMODG00000019614	TLR4	Opossum	36.73	4.056371179	2.923761961	382	0.686895784	kidney	1.564613792	9.0692	3	5	3	159	1	1	0	1	5	1	2	8	1	1	9	12	0.986436498150432	29.1971	33.7591	Other_TLRs	Other_TLRs	Other_TLRs
ENSMODG00000020531	TLR10	Opossum	37.26	3.350248018	2.873320602	382	0.642312067	ovary	1.237209791	11.2601	3	4	2	120	0	0	0	0	1	0	1	3	0	1	1	5	2.13178294573643	29.085	35.4575	Other_TLRs	Other_TLRs	Other_TLRs
ENSMODG00000020532	TLR6	Opossum	36.53	3.38219721	2.905256049	645	0.584108093	lung	3.162133461	9.589	3	4	2	118	0	0	0	1	2	0	1	4	0	1	3	6	2.88461538461538	31.1594	33.5145	Other_TLRs	Other_TLRs	Other_TLRs
ENSMODG00000024704	TLR5	Opossum	39.37	3.412460547	2.935507266	454	0.924530427	ovary	0.323224784	12.5436	4	9	7	409	0	0	0	1	1	0	1	3	0	1	2	5	0.763358778625954	29.1971	34.6715	Other_TLRs	Other_TLRs	Other_TLRs
ENSMODG00000024954	TLR2	Opossum	44.4	3.372359583	2.895422546	645	0.830398093	ovary	1.273447434	12.2293	4	4	2	95	0	0	0	1	3	1	1	5	0	1	5	7	0.552486187845304	30.6425	34.1021	Other_TLRs	Other_TLRs	Other_TLRs
ENSMODG00000028942	TLR13	Opossum	44.47	3.456973014	2.980003372	41	0.511768122	ovary	0.58401836	11.8449	5	14	12	872	0	0	0	1	1	0	1	3	0	1	2	5	4.89181561618062	33.871	32.8446	NA_sensing_TLRs	23S rRNA	ssRNA
ENSMPUG00000001715	TLR4	Ferret	41.63	4.094261443	2.921166051	382	0.516405411	lung	1.842471468	8.2833	4	7	5	255	0	1	0	0	4	1	0	3	0	1	6	4	0.763358778625954	31.2808	32.1429	Other_TLRs	Other_TLRs	Other_TLRs
ENSMPUG00000002563	TLR7	Ferret	43.81	4.299594454	3.035029282	645	0.703548547	lung	0.519619655	7.3869	5	9	7	414	0	0	0	0	2	0	0	1	0	1	2	2	0.763358778625954	33.0855	31.2268	NA_sensing_TLRs	ssRNA	ssRNA
ENSMPUG00000002568	TLR8	Ferret	44.6	4.210639506	3.036628895	454	0.500211624	lung	2.219129635	8.8316	3	9	7	342	0	0	0	1	2	0	1	3	0	2	3	6	2.14797136038186	29.927	32.4818	NA_sensing_TLRs	ssRNA	ssRNA
ENSMPUG00000011236	TLR3	Ferret	36.73	3.995898324	2.883661435	645	0.407575332	lung	2.647821812	14.7906	4	9	7	444	0	0	0	0	4	1	1	3	0	1	5	5	2.14797136038186	27.5416	35.4898	NA_sensing_TLRs	dsRNA	dsRNA
ENSMPUG00000018756	TLR5	Ferret	55.49	3.410945859	2.933993164	454	0.560761433	brain	1.497158553	13.2867	4	8	6	352	0	0	0	1	1	0	1	3	0	1	2	5	1.4745308310992	27.3585	34.7484	Other_TLRs	Other_TLRs	Other_TLRs
ENSMPUG00000018894	TLR2	Ferret	44.95	3.372359583	2.895422546	645	0.387370624	liver	2.813403506	13.6306	3	5	3	176	0	0	0	0	3	1	1	5	0	1	4	7	1.4745308310992	28.4006	33.9312	Other_TLRs	Other_TLRs	Other_TLRs
ENSMPUG00000020155	TLR1	Ferret	37.87	3.372912003	2.895974732	132	0.355446732	lung	2.537537322	10.8142	3	3	1	59	0	0	0	1	1	0	1	4	0	1	2	6	0.62266500622665	32.4176	33.6538	Other_TLRs	Other_TLRs	Other_TLRs
ENSMPUG00000020156	TLR6	Ferret	37.32	3.376759395	2.899820502	645	0.420145918	lung	2.023835671	9.71	4	4	2	100	0	0	0	0	2	0	0	3	0	1	2	4	0.62266500622665	31.125	31.625	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000027995	TLR2	Mouse	47.6	3.739967697	2.894869657	645	0.821872518	lung	1.010098958	12.6276	4	5	3	221	0	0	0	1	3	1	1	5	0	1	5	7	1.04529616724739	31.1987	33.6617	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000031639	TLR3	Mouse	39.44	4.187943529	2.957128198	645	0.605135889	brain	1.800055419	12.9282	5	12	9	588	0	0	0	1	4	1	1	3	0	1	6	5	1.04529616724739	28.7796	33.3333	NA_sensing_TLRs	dsRNA	dsRNA
ENSMUSG00000033777	TLR13	Mouse	42.57	4.237769874	2.996511672	14	0.737052673	lung	0.671718263	13.0172	5	14	12	790	0	0	0	1	1	0	1	3	0	1	2	5	0.764331210191083	28.1818	33.0909	NA_sensing_TLRs	23S rRNA	ssRNA
ENSMUSG00000039005	TLR4	Mouse	39.76	5.011570444	2.922206277	382	0.657032348	lung	1.401901687	8.3832	3	5	3	143	1	1	0	1	6	1	2	9	1	2	10	14	0.764331210191083	27.8768	32.9011	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000044583	TLR7	Mouse	39.78	4.408731661	3.021602716	645	0.767773677	brain	0.770537954	8.9524	5	9	7	353	0	0	0	1	3	0	1	4	0	2	4	7	1.0482180293501	31.6254	32.5088	NA_sensing_TLRs	ssRNA	ssRNA
ENSMUSG00000044827	TLR1	Mouse	43.44	3.94860855	2.900913068	382	0.738697128	lung	0.749777691	10.3145	3	4	2	116	0	0	0	1	1	0	1	4	0	1	2	6	1.0482180293501	28.3498	34.2736	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000045322	TLR9	Mouse	56.16	3.631950826	3.014100322	382	0.739392821	lung	0.622570844	6.9767	3	5	4	150	0	1	1	1	6	1	2	5	0	2	10	9	1.80072028811525	32.1839	33.3333	NA_sensing_TLRs	Unmethylated CpG DNA	ssDNA
ENSMUSG00000051498	TLR6	Mouse	44.35	3.906658218	2.906873535	30	0.761801351	lung	0.947984382	9.8015	3	3	1	59	0	0	0	1	2	1	1	5	0	1	4	7	1.47737765466297	32.2263	31.7343	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000051969	TLR11	Mouse	43.41	3.759592309	2.969415912	86	0.843892769	lung	0.24863774	13.1042	3	3	1	60	0	0	0	1	1	0	1	2	0	1	2	4	3.31186752529899	33.3745	30.9023	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000062545	TLR12	Mouse	56	3.501880494	2.957607287	24	0.734612509	kidney	1.328187282	12.4724	3	5	3	155	0	0	0	1	1	0	1	2	0	1	2	4	1.04712041884817	28.6232	33.1522	Other_TLRs	Other_TLRs	Other_TLRs
ENSMUSG00000079164	TLR5	Mouse	48.35	4.335598297	2.941511433	454	0.721219956	lung	0.825864305	12.7148	4	7	5	283	0	0	0	1	1	0	1	3	0	1	2	5	0.582750582750583	29.9187	33.1707	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000001824	TLR1	Rabbit	44	3.378397901	2.901458321	132	0.604112369	lung	1.355649843	10.5528	3	4	2	116	0	0	0	0	1	0	0	3	0	1	1	4	2.1656050955414	30.7965	32.3894	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000002216	TLR4	Rabbit	38.3	4.039414119	2.924279286	382	0.635581726	lung	2.510100767	8.3433	4	8	6	303	0	1	0	0	4	1	0	3	0	1	6	4	0.763358778625954	26.8344	35.8491	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000003367	TLR2	Rabbit	45.73	4.143046043	2.894869657	645	0.660646991	lung	1.873392999	13.7755	3	4	2	117	0	0	0	0	3	1	1	5	0	1	4	7	1.26103404791929	27.6364	34.3636	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000003701	TLR10	Rabbit	42.42	3.385963571	2.909020854	25	0.75856653	lung	0.968310881	10.2469	3	4	2	116	0	0	0	0	1	0	1	3	0	1	1	5	0.38265306122449	30.0353	31.9788	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000006031	TLR6	Rabbit	43.97	3.377852419	2.900913068	645	0.520594417	lung	1.066356381	9.9371	3	3	1	60	0	0	0	0	2	0	0	3	0	1	2	4	0.883977900552486	28.6996	33.9312	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000012701	TLR8	Rabbit	60.04	3.805704704	3.013258665	454	0.461986908	lung	1.839479355	6.4078	1	5	5	273	0	0	0	0	2	0	0	2	0	2	2	4	0.807265388496468	27.7299	34.9138	NA_sensing_TLRs	ssRNA	ssRNA
ENSOCUG00000017763	TLR3	Rabbit	38.4	4.540729792	2.938519725	645	0.567288033	liver	2.43128831	12.9181	5	14	11	726	0	0	0	0	4	1	1	3	0	1	5	5	2.39520958083832	30.8748	32.5901	NA_sensing_TLRs	dsRNA	dsRNA
ENSOCUG00000021564	TLR12	Rabbit	61.88	3.436957331	2.959994838	25	0.700495193	lung	1.525490851	12.1844	3	5	3	172	0	0	0	0	1	0	0	1	0	1	1	2	1.04761904761905	33.1281	31.0345	Other_TLRs	Other_TLRs	Other_TLRs
ENSOCUG00000026685	TLR11	Rabbit	52.99	3.450557009	2.973589623	86	0.742323521	lung	0.731093589	11.383	4	5	3	155	0	0	0	0	1	0	0	1	0	1	1	2	0.754716981132076	30.1294	34.1959	Other_TLRs	Other_TLRs	Other_TLRs
ENSPTRG00000015984	TLR10	Chimp	37.73	3.386498966	2.909556029	36	0.77378104	lung	0.271822066	9.7411	4	4	2	98	0	0	0	1	1	0	1	3	0	1	2	5	4.55426356589147	31.3559	31.6384	Other_TLRs	Other_TLRs	Other_TLRs
ENSPTRG00000016528	TLR2	Chimp	41.61	3.371806459	2.894869657	645	0.738887402	lung	1.505169824	12.5	4	5	3	226	0	0	0	1	3	1	1	5	0	1	5	7	0.86848635235732	30.7414	32.9114	Other_TLRs	Other_TLRs	Other_TLRs
ENSPTRG00000016658	TLR3	Chimp	40.01	4.222820481	2.956648579	645	0.593818161	lung	2.614244079	14.0487	4	12	10	656	0	0	0	1	4	1	1	3	0	1	6	5	1.50375939849624	30.5556	34.1049	NA_sensing_TLRs	dsRNA	dsRNA
ENSPTRG00000021299	TLR4	Chimp	38.52	4.007918391	2.924279286	382	0.326817716	heart	3.751613124	7.6281	4	11	9	468	1	1	0	1	5	1	2	8	1	1	9	12	0.441501103752759	34.375	31.4063	Other_TLRs	Other_TLRs	Other_TLRs
ENSPTRG00000021667	TLR8	Chimp	41.88	4.198327118	3.025305865	454	0.856826971	lung	0.385614519	9.8206	3	7	5	249	0	0	0	1	2	0	1	5	0	2	3	8	1.26002290950745	28.1399	34.3402	NA_sensing_TLRs	ssRNA	ssRNA
ENSPTRG00000028318	TLR7	Chimp	40.31	4.346958999	3.021189299	645	0.866540188	brain	0.387327347	9.1516	5	9	7	423	0	0	0	1	3	0	1	3	0	2	4	6	1.50753768844221	30.6839	34.7505	NA_sensing_TLRs	ssRNA	ssRNA
ENSPTRG00000030151	TLR5	Chimp	43.66	3.410945859	2.933993164	8	0.838114536	lung	0.606370772	12.8205	4	9	7	396	0	0	0	1	1	0	1	3	0	1	2	5	2.14541120381406	28.7129	34.6535	Other_TLRs	Other_TLRs	Other_TLRs
